product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
CHEESE BLOCK 200G MILKY MIST,140.0,143.0,1570.0,11.0,2.097902097902098,17.902097902097903
CHEESE CUBES 120g HERITAGE,90.0,90.64230769230768,1178.35,13.0,0.7086179827725096,19.29138201722749
CHEESE CUBES 120g MILKY MIST,115.0,114.41666666666667,1373.0,12.0,-0.5098324836125231,20.509832483612524
CHEESE CUBES 200g MILKY MIST,160.0,169.0,845.0,5.0,5.325443786982249,14.674556213017752
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,135.0,135.0,2025.0,15.0,0.0,20.0
CHEESE SLICE 100G MILKY MIST,79.0,78.74369047619048,8664.47,110.0,-0.32549849043082346,20.325498490430824
CHEESE SLICES 100g AMUL 5PC PACK,85.0,85.57142857142857,6415.0,75.0,0.6677796327211997,19.3322203672788
CHEESE SLICES 100g HERITAGE,57.5,57.5,2070.0,36.0,0.0,20.0
CHEESE SLICES 200g AMUL 10PC PACK,145.0,145.7225,10199.57,72.0,0.49580538352004433,19.504194616479957
CHEESE SLICES 200g HERITAGE,215.0,215.0,1935.0,9.0,0.0,20.0
CHEESE SLICES 200g MILKYMIST,149.0,149.47727272727272,8514.0,57.0,0.3192945111753027,19.680705488824696
CHEESE SPREAD 200g AMUL,110.0,110.0,550.0,5.0,0.0,20.0
CHEESE SPREAD GARLI 200g MILKY MIST,120.0,119.16666666666667,715.0,6.0,-0.6993006993006953,20.699300699300696
CHEESE SPREAD GARLIC200G AMUL,110.8,112.0,224.0,2.0,1.071428571428574,18.928571428571427
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,117.0,118.33333333333333,355.0,3.0,1.1267605633802777,18.873239436619723
CHEESE SPREAD PEPPER 200g MILKY MIST,120.0,120.0,240.0,2.0,0.0,20.0
CHEGODI 250g VELLANKI FOODS,145.0,145.55339743589744,51264.0,352.0,0.3802023488604291,19.61979765113957
CHEKKARAKELI BANANA,119.0,123.7339010989011,105288.19,858.44,3.8258723412569613,16.17412765874304
CHERRY LOCAL ANAND,159.0,214.72340425531914,60574.0,298.0,25.951248513674198,0.0
CHERRY TOMATO KG RED SAMBERRY,254.0,262.56874999999997,4324.5,16.31,3.2634310061650393,16.73656899383496
CHERUKU GADDALU,32.0,32.0,1920.0,60.0,0.0,20.0
CHERUKU RASALU KG LOOSE,146.0,172.637,76365.67,461.89,15.429484988733586,4.570515011266414
CHIA SEEDS KGS FLYBERRY,850.0,850.0,9326.2,11.17,0.0,20.0
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,350.0,354.1666666666667,2125.0,6.0,1.1764705882352995,18.8235294117647
CHICKPEAS 50g FLYBERRY GOURMET,49.0,49.0,147.0,3.0,0.0,20.0
CHICOOS SAPOTA JUICE,60.0,58.125,2640.0,45.0,-3.225806451612903,23.225806451612904
CHICOOS(Sapota),72.0,83.0416091954023,25203.0,308.55,13.296477877037136,6.703522122962864
CHIKKUDU SEED PACK,299.0,298.9984615384615,2284.98,7.61,-0.0005145382790791911,20.00051453827908
CHIKKUDUKAI,90.346,108.23793333333333,107260.2,1027.96,16.530187506659704,3.469812493340296
CHIKKUDUKAYA PICKLE 250g AHA,90.0,90.0,270.0,3.0,0.0,20.0
CHINNA RASALU KG LOOSE,117.0,141.61555555555555,123437.86,889.21,17.381957412085924,2.6180425879140756
CHINTA CHIGURU,438.892,475.4939622641509,27442.06,58.76,7.697671299518512,12.302328700481489
CHOCOLATE 150G HBD PACK AMUL,200.0,200.0,3000.0,15.0,0.0,20.0
CHOCOLATE MILK SHAKE 180ML HERITAGE,20.0,27.142857142857142,6424.0,247.0,26.31578947368421,0.0
CHOUSA MANGO KG LOOSE,214.0,229.1764705882353,13006.95,57.57,6.622176591375774,13.377823408624227
CHOWCHOW,44.0,46.0625,1141.94,24.41,4.477611940298507,15.522388059701493
CINNAMON DALCHINI KG FLYBERRY,950.0,950.0,927.1999999999999,0.98,0.0,20.0
CLOVES 50g,90.0,90.0,6210.0,69.0,0.0,20.0
CLUSTER BEANS,53.364,59.190164835164836,63949.94,1078.97,9.843129937870215,10.156870062129785
COCONUT,41.0,43.886448087431695,162488.22,3696.0,6.57708293385065,13.422917066149349
COCONUT KARAM 100G  VELLANKI FOODS,64.0,64.36363636363636,772.0,12.0,0.5649717514124234,19.435028248587578
COCONUT MANGO,172.0,189.4829508196721,59162.729999999996,310.07,9.226661683303822,10.773338316696178
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,70.0,70.0,70.0,1.0,0.0,20.0
COCONUT SLICE KGS FLYBERRY,470.0,470.0,657.06,1.4000000000000001,0.0,20.0
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,220.0,241.55555555555554,2174.0,9.0,8.923643054277825,11.076356945722175
COKE 250ML,20.0,20.0,340.0,17.0,0.0,20.0
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,599.0,599.0,2396.0,4.0,0.0,20.0
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,350.0,350.0,1400.0,4.0,0.0,20.0
COLOUR CUCUMBER,32.0,36.42377049180328,95482.76,2629.25,12.145284335126142,7.854715664873858
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,165.0,147.2375,1193.7,10.0,-12.063842431445785,32.063842431445785
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,349.0,355.0,4258.0,12.0,1.6901408450704223,18.309859154929576
COOKING BUTTER 100G MILKY MIST,75.0,74.85267857142857,6141.75,82.0,-0.196815172660586,20.196815172660585
COOKING BUTTER 100g AMUL UNSALTED,62.0,64.07692307692308,2558.0,40.0,3.241296518607448,16.75870348139255
COOKING BUTTER 200G HERITAGE,130.0,129.79166666666666,3630.0,28.0,-0.16051364365971837,20.16051364365972
COOKING BUTTER 500g HERITAGE,320.0,301.1764705882353,5120.0,17.0,-6.2499999999999964,26.249999999999996
COOKING BUTTER UNSALTED 200g MILKY MIST,138.0,145.14285714285714,3334.0,23.0,4.9212598425196825,15.078740157480318
COOKING UNSALTED BUTTER 500g MILKY MIST,355.0,355.0,5680.0,16.0,0.0,20.0
COPRA POWDER 100G EVR,40.0,52.02272727272727,2136.75,41.0,23.110528615115772,0.0
CORIANDER,69.0,93.54021978021977,188619.91,1993.76,26.234939192872307,0.0
CORIANDER 200g,65.0,67.5,6945.0,103.0,3.7037037037037033,16.296296296296298
CORN FLAKES 200G EVR,49.0,49.0,490.0,10.0,0.0,20.0
CORN FLAKES MIXTURE250g VELLANKI FOODS,135.0,136.9035714285714,28884.7,211.0,1.3904468734510607,18.60955312654894
CORN FLOUR 200g EVR,38.0,38.0,342.0,9.0,0.0,20.0
COW GHEE 200ml JAR AMUL HIGH AROMA,148.0,145.83225806451614,5432.8,37.0,-1.4864625729959227,21.486462572995922
COW GHEE 250G VELLANKI FOODS,225.0,225.0,16650.0,74.0,0.0,20.0
COW GHEE 350g SIDS FARM,500.0,502.7027027027027,22100.0,44.0,0.5376344086021518,19.462365591397848
COW GHEE 500ml PET JAR MILKYMIST,419.0,423.0,1692.0,4.0,0.9456264775413712,19.05437352245863
COW MILK 500ML POUCH SIDS FARM,42.0,41.86049180327869,83589.86,2010.0,-0.33326936858964923,20.33326936858965
COW MILK 500ml GOLDEN HERITAGE,31.0,31.0,31.0,1.0,0.0,20.0
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,30.0,30.0,300.0,10.0,0.0,20.0
CRUNCHY BANANA CHIPS 100g FLYBERRY,125.0,125.0,1125.0,9.0,0.0,20.0
CRUNCHY BANANA CHIPS 250g FLYBERRY,299.0,299.0,1196.0,4.0,0.0,20.0
CRUNCHY BANANA CHIPS 65g FLYBERRY,99.0,99.0,396.0,4.0,0.0,20.0
CUCUMBER,32.0,39.53939890710382,218653.87,5548.36,19.06806657536026,0.931933424639741
CUCUMBER WHITE,69.0,69.0,90.8,1.32,0.0,20.0
CUMIN JEERA KG FLYBERRY,950.0,950.0,528.2,0.56,0.0,20.0
CURD 135g POUCH MILKY MIST,10.0,10.0,17530.0,1753.0,0.0,20.0
CURD 500g POUCH HERITAGE,50.0,49.856263736263735,155741.25,3133.0,-0.28830131454819896,20.2883013145482
CURD CUP 200G HERITAGE,25.0,25.0,6525.0,262.0,0.0,20.0
CURD CUP 400GHERITAGE,45.0,46.06587209302325,20063.0,438.0,2.3137998795960706,17.686200120403928
CURD POUCH 400g MILKY MIST,42.0,41.93760233918129,38764.0,929.0,-0.14878690563674418,20.148786905636744
CURD TUB 1KG HERITAGE,109.0,108.83446927374301,98142.23,904.0,-0.15209402624148644,20.152094026241485
CURRY LEAVES,89.0,94.00524590163934,59596.840000000004,635.03,5.324432539516452,14.675567460483549
CUSTARD APPLE ANAND,277.0,272.8720930232558,195140.17,725.49,-1.5127626028039476,21.512762602803946
DABBAKAI,49.0,50.06896551724138,2415.0,48.0,2.13498622589532,17.865013774104682
DALCHINI 50g,60.0,60.0,7080.0,118.0,0.0,20.0
DALMOTI 250g VELLANKI FOODS,150.0,151.91489361702128,20920.0,138.0,1.260504201680673,18.73949579831933
DAMPUDU BIYYAM 1Kg AISHWARYA,74.0,74.0,445.0,6.0,0.0,20.0
DARK CHOCOLATE 150g AMUL,200.0,200.0,2000.0,10.0,0.0,20.0
DARK CHOCOLATE 150g BEST WISHES AMUL,200.0,192.25,3736.0,19.0,-4.031209362808843,24.031209362808845
DASHERI MANGO KG LOOSE,207.0,214.0463,173487.08,812.64,3.2919513208123674,16.708048679187634
DATE BITES 160g FLYBERRY,299.0,298.6785483870968,46823.4,157.0,-0.10762460666797076,20.107624606667972
DATES POWDER 180g FLYBERRY,399.0,399.0,1596.0,4.0,0.0,20.0
DEHYDRATED GINGER  KGS FLYBERRY,1035.0,1035.0,126.27,0.12,0.0,20.0
DEHYDRATED KIWI KG FLYBERRY,870.0,870.0,1214.52,1.6400000000000001,0.0,20.0
DEHYDRATED MANGO KG FLYBERRY,1250.0,1250.0,3502.5,2.81,0.0,20.0
DEHYDRATED PAPAYA  KGS FLYBERRY,809.9680000000001,809.98,173.34,0.21000000000000002,0.001481518062167413,19.998518481937833
DEHYDRATED PINEAPPLE KG FLYBERRY,1200.0,1200.0,1922.4,1.59,0.0,20.0
DERI DATES KG FLYBERRY,900.0,895.0,2215.8,2.4899999999999998,-0.5586592178770949,20.558659217877096
DESI COW GHEE 500ml JIVIKA ORGANICS,999.0,999.0,9990.0,10.0,0.0,20.0
