product,sales_velocity,turnover_proxy,total_quantity,total_revenue
DIAMOND MISRI 200G,0.37222222222222223,135.86111111111111,67.0,2520.0
DILKUSH GRAPES KG LOOSE,1.8735897435897435,683.8602564102564,146.14,21595.82
DISCO PUMPKIN,1.0073224043715847,367.67267759562844,184.34,7251.85
DONDAKAI,21.52737704918033,7857.492622950821,3939.51,178902.06
DOODH PEDA 200g HERITAGE,1.3038674033149171,475.91160220994476,236.0,29419.0
DOSA BATTER MIX 900g DSL,2.8524590163934427,1041.1475409836066,522.0,41680.0
DOSE WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,0.2857142857142857,104.28571428571428,48.0,6000.0
DOUBLE BEANS,0.72,262.8,0.72,85.44
DOUBLE HORSE URAD ROUND 1KG,0.7588235294117647,276.9705882352941,129.0,24720.0
DR GOOD EGGS CAROTENOID 12 PACK,1.5195530726256983,554.6368715083798,272.0,42003.6
DR GOOD EGGS CAROTENOID 30 PACK,0.6140350877192983,224.12280701754386,105.0,38904.0
DRAGAN FRUIT JUICE,0.03225806451612903,11.774193548387096,3.0,300.0
DRAGON  FRUIT,4.1143715846994535,1501.7456284153006,752.93,126788.39
DRIED BLACKBERRY KG FLYBERRY,0.027142857142857142,9.907142857142857,0.19,598.0
DRIED BLUEBERRY KG FLYBERRY,0.04027932960893855,14.70195530726257,7.21,18805.4
DRIED CRANBERRY WHOLE KG FLYBERRY,0.07099378881987578,25.91273291925466,11.43,12562.0
DRIED DATES YELLOW250 GM,2.0,730.0,2.0,250.0
DRUMSTICK,71.89617486338798,26242.103825136615,13157.0,106917.69
DRY CHURRA KG FLYBERRY,0.029285714285714283,10.689285714285713,4.51,3309.9
DRY COCONUT 250G EVR,0.30939226519337015,112.9281767955801,56.0,7820.0
DRY COCONUT KG FLYBERRY,0.012111801242236027,4.42080745341615,1.9500000000000002,1162.8
EGGS 12PS FARM MADE FREE RANGE U N V,0.7237569060773481,264.17127071823205,131.0,37859.0
EGGS 6PC FARM MADE FREE RANGE U N V,1.1475409836065573,418.8524590163934,210.0,31290.0
EGGS 6PC JUST LAID VN POULTRY,5.459016393442623,1992.5409836065573,999.0,79920.0
EGGS 6PC UPF HEALTHY WHITE U N V,0.15151515151515152,55.303030303030305,25.0,2225.0
ELEPHANT FOREST HONEY 250G 1+1,0.050359712230215826,18.381294964028775,7.0,574.6
ELEPHANT FOREST HONEY 500G 1+1,1.0,365.0,1.0,159.5
ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER),0.1702127659574468,62.12765957446808,8.0,920.0
ELEPHANT SEEDLESS HONEY DATES400G+10,0.07936507936507936,28.96825396825397,10.0,1990.0
ELEPHANT YAM,2.213551912568306,807.9464480874317,405.08,37894.58
ENG ITEM BROCOLI SAMBERRY,2.523497267759563,921.0765027322404,461.8,166019.06
ENG ITEM CELERY SAMBERRRY,0.03358823529411765,12.259705882352941,5.71,1257.3
ENG ITEM CHINESE CABBAGE SAMBERRY,0.15260355029585798,55.700295857988166,25.79,5339.01
ENG ITEM COLOUR CABBAGE SAMBERRY,0.3824861878453039,139.60745856353594,69.23,14381.61
ENG ITEM GREEN LETTUCE SAMBERRY,0.3112568306010929,113.6087431693989,56.96,14676.64
ENG ITEM PARSLEY SAMBERRY,0.007103448275862069,2.592758620689655,1.03,320.46
EUROPEN CUCUMBER,13.57120218579235,4953.488797814208,2483.53,156041.7
FIGS AFGHANI NORMAL KG FLYBERRY,0.14145251396648045,51.630167597765364,25.32,47772.840000000004
FILTER COFFE STRONG 5 10ml ID FRESH,1.0,365.0,1.0,55.0
FILTER COFFEE 150ML ID FRESH,0.08064516129032258,29.43548387096774,5.0,700.0
FILTER COFFEE 150ML NEW BOLD ID FRESH,0.3076923076923077,112.30769230769232,4.0,540.0
FINGER CHIPS PAPAD 200G EVR,0.5882352941176471,214.7058823529412,10.0,478.4
FLAX SEED OIL 1L MESMARA,0.02666666666666667,9.733333333333334,4.0,2396.0
