product_name,current_category,layer_1_score
MANGO BELLAM AVAKAI 250g AHA,fruits,0
NANDAS Mr BREADRY ZERO MAIDA 450g,,0
TAMARIND PICKLE 500g AHA,,0
ANJEER BOX PACK ANAND,,0
CHICKPEAS 50g FLYBERRY GOURMET,,0
ELEPHANT FOREST HONEY 500G 1+1,,0
MASALA KARAM 250g AHA,,0
ROUND CHEKKALU 250g VELLANKI FOODS,,0
THIS IS CAPPUCCINO 22g CONTINENTAL,,0
HEKATPY PEARL MILLET COOKIE 125g,,0
HEKTAPY OAT COOKIES  125g,,0
THREE MANGO RAI PWD 200G,fruits,0
ASL  IDLY & DOSA BATTER  1KG,,0
CUCUMBER WHITE,vegetables,0
FLYBERRY SPICED CHICKPEAS CRISP 31g,,0
DOUBLE BEANS,vegetables,0
IODIZED SALT 1KG PON,,0
MOONGDAL RICE RAWA 500G AISHWARYA,,0
Snake Gourd Small,vegetables,0
WHEAT GRASS,,0
koyakura,,0
FILTER COFFE STRONG 5 10ml ID FRESH,,0
PARSLEY PACK,,0
SUN MELON YELLOW,,0
THADKA MIX POPU DINUSULU 200G,,0
VARI NUKA AISHWARYA 500G,,0
YELLOW CAULIFLOWER PC,vegetables,0
LETTUCE ROCKET ARUGULA KG ENGLISH ITEM SAMBERRY,vegetables,0
NUVULA KARAM FLYBERRY,,0
REDCHILLY,,0
mulagaku,,0
WALNUT PREMIUM KGS FLYBERRY,,70
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,,70
DESI COW GHEE 500ml JIVIKA ORGANICS,,70
FULL CREAM MILK 500ml HERITAGE,,70
PANEER 200g SINGLE BLOCK MILKY MIST,,70
Akshayakalpa Organic Ghee 490ml,,70
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,,70
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,,70
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,,70
AKSHAYA KALPA ORGANIC COW GHEE 195ml,,70
FRESH CREAM 250ml UHT MILKY MIST,,70
MILK CHOCOLATE SMOOTH N CREAMY 150g AMUL,,70
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,,70
NATURAL COW GHEE 500ml JIVIKA ORGANICS,,70
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,,70
RAISIN N ALMOND 150G CHOCOLATE AMUL,,70
